trace,put1,put2,diff_kinds,sig_put1,sig_put2,num_steps,candidate_path
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.4-5.6.6--19-01-30--0/objective/20260529-170139088-be9745ac38d2a036.trace,wolfssl564-asan,wolfssl566-asan,Knowledges,c9982ff0bd352e6bb5d52ab877212516de1a6f3cb6eab73d2ca393485c85937f,e7fb0b662a61e0ce1ab4e5bab6f64e3d1e454b6fd55e2bc590ef87857fd8ce5a,2,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-170139088-be9745ac38d2a036.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.2.0-5.3.0--16-51-23--0/objective/20260529-145456321-5fc7f765973ed5c5.trace,wolfssl520-asan,wolfssl530-asan,Knowledges,c66c30b469ee3c60cb176d22c38d55e17267a6fda11fae7acb9f993903a061c8,7f526ec4edb60883b21540b9ae503c5ecb61a117cd7c16f09dc9297fe8a4aa9a,11,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-145456321-5fc7f765973ed5c5.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.2.0-5.2.1--20-27-01--0/objective/20260529-190946742-b6af7e16b4f9c2fb.trace,wolfssl520,wolfssl521,Status,5e6a5f53ec86b3024c9de9d280498edca72e66b255592f3fee857ae796fcfba7,6d993e6ad19b9c851e96710c47ec8a1a9faddd91158df9673d7bfe2d8db2be73,9,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-190946742-b6af7e16b4f9c2fb.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.4-5.6.6--19-01-30--0/objective/20260529-171304032-9d893add37faeb2b.trace,wolfssl564-asan,wolfssl566-asan,Knowledges,8e2b7d630b6c19fa626d4806dd1ee262802c889c44dc4534111b5e28d8000965,b5856eda018011d97541de3ab07e5841d75a1cb40397c6dfde933260dc35833f,11,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-171304032-9d893add37faeb2b.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.4-5.6.6--19-01-30--0/objective/20260529-171524838-bd3365395863f748.trace,wolfssl564-asan,wolfssl566-asan,Knowledges,a9460d8783b358428feaf876370bac6da2139672ff148c102dc2dd37fad242e9,e3711bf039de9973939ed429ea8dc35a68e24194843e656f4477c42f59f134ed,13,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-171524838-bd3365395863f748.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.5.3-5.5.4--17-51-23--0/objective/20260529-155340356-cad826cd4e295c69.trace,wolfssl553-asan,wolfssl554-asan,Knowledges,d059f2a3c0d0416b3905172bb36fc50d592ff349e8abaf89a51741b59443385b,9ab2de1145e13a1479f2da3925710c45382c89c31dc18df45e23741488a6f03e,3,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-155340356-cad826cd4e295c69.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.5.3-5.5.4--17-51-23--0/objective/20260529-155544475-b866d457c044a8ad.trace,wolfssl553-asan,wolfssl554-asan,Knowledges,4382c2a902c217e2a23745bec4995ea273285c6ddb9e4176fe86462cdf3eb478,c75c89b1d087a5f94e711851188cbf18ad599a7d36ca00940811b0117fc9f5f7,4,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-155544475-b866d457c044a8ad.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.2-5.7.4--19-01-30--0/objective/20260529-170443509-22cb28686c7d10fe.trace,wolfssl572-asan,wolfssl574-asan,Knowledges,9a35b7d18b6da21227f5bdd20b8b5812be264c6512fbea422fb158af53be33e7,c14224fbbfe48ed54a8144608ac7c06a25b0ec202254d08a6d2f5d2a8979408c,4,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-170443509-22cb28686c7d10fe.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.2-5.7.4--19-01-30--0/objective/20260529-171548485-c5dfb056669de77b.trace,wolfssl572-asan,wolfssl574-asan,Knowledges,3b8da76a86d5693106f28452bab2fcd619ba1ed9c468555233ddca9f801cfc6b,a89930735f4155b0f3c89ca519612ca3046f5a1382a97be25cc1e654a40ac2d8,5,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-171548485-c5dfb056669de77b.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.2-5.7.4--19-01-30--0/objective/20260529-172851399-f1921ff1273e8e53.trace,wolfssl572-asan,wolfssl574-asan,Knowledges,dd98ff461713350f1da0617c28a67d0b1651c8071fe4133c5fd11d8cb80314fb,c14224fbbfe48ed54a8144608ac7c06a25b0ec202254d08a6d2f5d2a8979408c,4,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-172851399-f1921ff1273e8e53.trace
